MEMBER;PRODUCT ID;MEMBER_PRODUCT_ID;NAME_DEFAULT;UPLOAD THIS BRAND;PRIMARY_CATEGORY_ID
SEATTLE;10012-0000-5200;a128X00000DRwwEQAT;& Other Stories Black Size 9.5 Platform Sandals;& Other Stories;womens-shoes-heels
SEATTLE;10012-0000-65148;a128X00000DNAQVQA5;1822 Black Cropped Cksinny Jean s WMN Sz 12;1822 Denim;womens-jeans-straight-boyfriend
MILWAUKEE;10013-0000-21451;a128X00000CYIBeQAP;32 Degrees Men's Purple Cool Po lo Size XL;32 Degrees;mens-tops-shirts-polo
MILWAUKEE;10013-0000-2477;a128X00000CXvmbQAD;32 Degrees Cool Blue Drawstring Loose Casual Pants Size XL;32 Degrees;womens-bottoms-casual-pants
SEATTLE;10012-0000-48010;a128X00000DLnUjQAL;7 For All Man Kind Penny Brown Ankle Skinny Pants WM Size 28 NWT;7 For All Mankind;womens-bottoms-casual-pants
SEATTLE;10012-0000-47540;a128X00000DLhIlQAL;7 for all mankind Aubrey slim i llusion Black Jeans WM 25;7 For All Mankind;womens-bottoms-casual-pants
SEATTLE;10012-0000-106550;a128X00000EEBW7QAP;7 For All Mankind Maroon Shiny Cargo Pants Size 27;7 For All Mankind;womens-bottoms-casual-pants
SEATTLE;10012-0000-40034;a128X00000DL2jNQAT;7 For All Mankind Lt Blue Skinn y Jean WM 26;7 For All Mankind;womens-jeans-flare-boot-cut
SEATTLE;10012-0000-88091;a128X00000EDKyBQAX;7 For All Mankind Luxe Vintage High Waist Slim Kick Jeans Size 32 NWT;7 For All Mankind;womens-jeans-jeggings
SEATTLE;10012-0000-54423;a128X00000DMJN5QAP;7 For All Mankind Black 'Blair' Distressed Skinny Jeans WMN Sz 28;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-47550;a128X00000DLhKNQA1;7 for all mankind Black Wax Ski nny Jeans WM 30;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-35750;a128X00000Dxq4IQAR;7 For All Mankind Dark Denim Sk inny Jean WM 27;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-74079;a128X00000DNvyQQAT;7 For All Mankind Karah Straigh t Leg Jeans Size 24;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-44457;a128X00000DLTJ7QAP;7 For All Mankind Two Tone Zipp er Pants Size 28;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-98371;a128X00000EDoviQAD;7 For All Mankind Women's High Waist Straight Leg Jeans Size 28;7 For All Mankind;womens-jeans-straight-boyfriend
SEATTLE;10012-0000-98373;a128X00000EDovjQAD;7 For All Mankind Women's Stand ard Jeans Size 29;7 For All Mankind;womens-jeans-straight-boyfriend
LOSANGELES;10014-0000-107591;a128X00000DuEGqQAN;7 For All Mankind Women Blue Sl im Jeans 27;7 For All Mankind;womens-jeans-flare-boot-cut
COLORADO;10011-0000-26279;a128Z00000YEPP6QAP;A New Approach Womens Red Pink Plaid Collared Long Sleeve Button Up Shirt Size M;A New Day;womens-tops-blouses-button-ups
MILWAUKEE;10013-0000-21646;a128X00000CYIPaQAP;A New Day Pink Button Up Shirt Size L;A New Day;mens-tops-shirts-button-ups
MILWAUKEE;10013-0000-3647;a128X00000CXxIJQA1;A New Day Women's Light Pink Co lor Chino Shorts Size 2;A New Day;womens-bottoms-shorts
MILWAUKEE;10013-0000-4898;a128X00000CXyqHQAT;A New Day Women's Red Orange Ey elet Lace Midi Skirt Size L;A New Day;womens-bottoms-skirts
MILWAUKEE;10013-0000-15591;a128X00000CYBKOQA5;A New Day Women's Burgundy Long Sleeve Sweater sz M;A New Day;womens-tops-blouses-blouses
MILWAUKEE;10013-0000-18561;a128X00000CYEzeQAH;A New Approach Gold Pattern Lon g Sleeve Blouse Size 1X;A New Day;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-17193;a128X00000CYDHqQAP;A New Day Gray Sparkle T-Shirt Womens SZ S;A New Day;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-16995;a128X00000CYD35QAH;A New Day Heather Brown Light S weater Womens SZ M;A New Day;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-18335;a128X00000CYEi9QAH;A New Day Purple Long Sleeve T- Shirt Womens SZ;A New Day;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-21456;a128X00000CYIBxQAP;A New Day Women's Black Long Sl eeved Shirt Size Medium;A New Day;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-4361;a128X00000CXyBsQAL;A New Day Brown Tank Top Size S mall;A New Day;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-4743;a128X00000CXyddQAD;A New Day Green Tank Top Size X S Extra Small;A New Day;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-18225;a128X00000CYEa0QAH;A New Day White Sleeveless Top Women Size XL;A New Day;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-16069;a128X00000CYBuMQAX;A New Day White With Black Stri pes T Shirt Womens Size XS;A New Day;womens-tops-blouses-t-shirts
MILWAUKEE;10013-0000-8961;a128X00000CY3IyQAL;A New Day Womens Short Sleeve C rew Neck Shirt Pink Size S;A New Day;womens-tops-blouses-t-shirts
SEATTLE;10012-0000-46494;a128X00000DLci1QAD;A New Day Women's Stretch Elast izado Polyester Plaid Pant Size 4;A New Day;womens-bottoms-casual-pants
SEATTLE;10012-0000-112212;a128X00000DcfpzQAB;A New Day Womens Stretch Pants ;A New Day;womens-bottoms-casual-pants
MILWAUKEE;10013-0000-59927;a128X00000B8st1QAB;Abercrombie and Fitch Green Chi no Men's Size W 30 and L 30;Abercrombie & Fitch;mens-bottoms-khakis-chinos
MILWAUKEE;10013-0000-18032;a128X00000CYELAQA5;Abercrombie & Fitch Men's Plaid Button Up Size L;Abercrombie & Fitch;mens-tops-shirts-button-ups
MILWAUKEE;10013-0000-15741;a128X00000CYBVqQAP;Abercrombie And Fitch Men's Gre en White Collar Polo Shirt Moose Size XS;Abercrombie & Fitch;mens-tops-shirts-polo
MILWAUKEE;10013-0000-60323;a128X00000B8tO4QAJ;Abercrombie & Fitch Womens Blue Denim Jean Size 4;Abercrombie & Fitch;womens-jeans-jeggings
MILWAUKEE;10013-0000-13601;a128X00000CY8zEQAT;Abercrombie & Fitch Blue Stripe d Blouse sz M;Abercrombie & Fitch;womens-tops-blouses-blouses
MILWAUKEE;10013-0000-3597;a128X00000CXxF0QAL;Abercrombie & Fitch Floral Wome n's Button Up Extra Small Shirt;Abercrombie & Fitch;womens-tops-blouses-button-ups
MILWAUKEE;10013-0000-61653;a128X00000B8uzpQAB;Abercrombie & Fitch Women's Gre en Long Sleeve Button Up Shirt Size S;Abercrombie & Fitch;womens-tops-blouses-button-ups
MILWAUKEE;10013-0000-17306;a128X00000CYDQiQAP;Abercrombie and Fitch Gray Long Sleeve with Pocket Size M/L;Abercrombie & Fitch;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-20606;a128X00000CYHE7QAP;Abercrombie & Fitch Polka Dot T ank Top Size Medium;Abercrombie & Fitch;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-20554;a128X00000CYHA5QAP;Abercrombie & Fitch Stripe Ruff le Hem Camisole Size Medium;Abercrombie & Fitch;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-16219;a128X00000CYC56QAH;Abercrombie & Fitch Women's Sle eveless Blouse Size Small;Abercrombie & Fitch;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-15906;a128X00000CYBipQAH;Abercrombie And Fitch Floral To p Women Color Red Size S;Abercrombie & Fitch;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-61821;a128X00000B8vAsQAJ;Abercrombie & Fitch Women Knot Tie Top;Abercrombie & Fitch;womens-tops-blouses-t-shirts
MILWAUKEE;10013-0000-61653;a128X00000B8uzpQAB;Abercrombie & Fitch Women's Gre y Soft Collection T-Shirt Size L;Abercrombie & Fitch;womens-tops-blouses-t-shirts
LOSANGELES;10014-0000-77249;a128X00000Dtc1xQAB;Abercrombie & Fitch Men Blue Je ans M;Abercrombie & Fitch;mens-bottoms-jeans-corduroys
LOSANGELES;10014-0000-112470;a128X00000DuKRBQA3;Abercrombie & Fitch Women 2Tone Denim Jacket XS;Abercrombie & Fitch;womens-coats-jackets-jean
LOSANGELES;10014-0000-116211;a128X00000DuP4lQAF;Abercrombie & Fitch Women Mint & White Graphic Ruched Summer Dress M NWT;Abercrombie & Fitch;womens-dresses-mini
MILWAUKEE;10013-0000-14551;a128X00000CYA2dQAH;Acne Cargo Capri Pants Size 2 ;Acne Studios;womens-bottoms-capris
COLORADO;10011-0000-17183;a128Z00000YE9pxQAD;Adidas Men's White Sneaker Shoe s Size 9;adidas;mens-shoes
COLORADO;10011-0000-222977;a128Z00000a1gFPQAY;Adidas Athletic Shoes, Men's si ze 12 NWT;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-13587;a128Z00000YDzFHQA1;Adidas Fluid Flow Blue Sneakers Men's Size 13 NWT;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-4729;a128Z00000YDSgMQAX;Adidas Harden B/E 3 Men's Red B asketball Shoes Size 6.5;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-12702;a128Z00000YDwStQAL;"Adidas Ladies White &amp; Black La Marque Aux 3 Bandes Trainers UK Size 5.5 | eBay";adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-210978;a128Z00000ZxZoVQAV;Adidas Lucky James Harden XIII Men's CLU 600001 Bassketball Shoe's;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-212067;a128Z00000ZxxsZQAR;Adidas Men's Boost Shoes Size 9 0.5;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-13625;a128Z00000YDzQXQA1;Adidas Men's Gray Sneakers Size 7.5;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-3284;a128Z00000YDNUmQAP;Adidas Men's Red Sneakers Size 6;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-16266;a128Z00000YE7sXQAT;Adidas Men's Terrex 400 Charcoa l Gray Sneakers  Size 11;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-8920;a128Z00000YDmKrQAL;Adidas SPG 753001 Men's Black/G ray Running Shoes Size 7;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-13465;a128Z00000YDz5FQAT;Adidas The Next Door Pastel Sne akers Size 13;adidas;mens-shoes-sneakers-athletic
COLORADO;10011-0000-232278;a128Z00000a4YWDQA2;Adidas Compression Crew Socks W omen's Size 5-10 6pc Bundle;adidas;womens-shoes-socks
COLORADO;10011-0000-237500;a128Z00000a629qQAA;Adidas Samoa Women's Sneakers S ize 6 IOB;adidas;womens-shoes-sneakers
COLORADO;10011-0000-205152;a128Z00000ZvnxqQAB;Adidas Women Cross Country Sz - 8.5;adidas;womens-shoes-sneakers
MILWAUKEE;10013-0000-20658;a128X00000CYHI9QAP;Adidas Men's Hoodie Size Medium ;adidas;mens-athletic-apparel-hoodies-pullovers
MILWAUKEE;10013-0000-2568;a128X00000CXvtmQAD;Adidas Men's Neon Orange Ultima te Tee Athletic T-Shirt Size XL;adidas;mens-athletic-apparel-shirts
MILWAUKEE;10013-0000-4590;a128X00000CXyTSQA1;Adidas Beige Gold Gray Plaid Go lf Shorts Mens SZ 32;adidas;mens-bottoms-shorts
MILWAUKEE;10013-0000-16373;a128X00000CYCGmQAP;Adidas Men's World Cup Soccer B adge Of Sport Blue T-Shirt Size L;adidas;mens-tops-shirts-graphic-tees-t-shirts
MILWAUKEE;10013-0000-24387;a128X00000CYLUiQAP;Adidas Adi Rise Mid All White S hoes Men's Size 11;adidas;mens-shoes
MILWAUKEE;10013-0000-23633;a128X00000CYKiPQAX;Adidas D Rose 6 Boost BHM Size 13;adidas;mens-shoes
MILWAUKEE;10013-0000-101326;a128X00000B9XQxQAN;Adidas Men's Superstar White Pa stel Orange Sneakers Size 8.5;adidas;mens-shoes
MILWAUKEE;10013-0000-1304;a128X00000CXuHXQA1;Adidas Neo Blue / Gray Low Top Sneakers Size 13;adidas;mens-shoes
MILWAUKEE;10013-0000-16786;a128X00000CYClkQAH;Adidas Men's Yung-96 Sneakers - Gray - Low-Top Sneakers Size 5 US;adidas;mens-shoes-sneakers-athletic
MILWAUKEE;10013-0000-11133;a128X00000CY5vOQAT;Adidas Sideline Training Short College Burgundy/White Shorts Size M;adidas;womens-activewear-shorts
MILWAUKEE;10013-0000-3654;a128X00000CXxIiQAL;Adidas Women's Activewear Black Color Shorts Size 2;adidas;womens-activewear-shorts
MILWAUKEE;10013-0000-13561;a128X00000CY8x3QAD;Adidas Green And Black Active T ank Top With Built In Shelf Bra Size L;adidas;womens-activewear-tops
MILWAUKEE;10013-0000-59918;a128X00000B8ssIQAR;Adidas White Capri Women's SIze 8;adidas;womens-bottoms-capris
MILWAUKEE;10013-0000-16361;a128X00000CYCFoQAP;Adidas Orange Stripe Activewear Track Sweatpants Size M;adidas;womens-bottoms-casual-pants
MILWAUKEE;10013-0000-13453;a128X00000CY8qCQAT;Adidas Women's Black Casual Pan ts Size XS;adidas;womens-bottoms-casual-pants
MILWAUKEE;10013-0000-19838;a128X00000CYGRFQA5;Adidas Women's Long Sleeve Chic ago Bulls Top Size S;adidas;womens-tops-blouses-long-sleeve
MILWAUKEE;10013-0000-20700;a128X00000CYHM1QAP;Adidas Women's Climalite Racerb ack Tank Top Size Medium;adidas;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-20711;a128X00000CYHMkQAP;Adidas Women's Racerback Tank T op Size Small;adidas;womens-tops-blouses-sleeveless
MILWAUKEE;10013-0000-18910;a128X00000CYFOyQAP;Adidas Blue ND Football Graphic T-Shirt Size S;adidas;womens-tops-blouses-t-shirts
MILWAUKEE;10013-0000-20677;a128X00000CYHK0QAP;Adidas Ultimate 2.0 Women's Ora nge T-Shirt Size Large;adidas;womens-tops-blouses-t-shirts
SEATTLE;10012-0000-94668;a128X00000EDgOLQA1;Adidas EQT Support 93 GTX Black Men's - Size 10.5;adidas;mens-shoes
SEATTLE;10012-0000-65638;a128X00000DNC4LQAX;Adidas Grey Tubular Invader Str ap Men's - Size 12;adidas;mens-shoes
SEATTLE;10012-0000-43705;a128X00000DLQkBQAX;adidas Originals ZX 700 HD Whit e Ivory Black Men Unisex Casual Shoes FY1103;adidas;mens-shoes
SEATTLE;10012-0000-103189;a128X00000EE3IuQAL;Adidas | Grey | Men's Sz 17 ;adidas;mens-shoes-sneakers-athletic
SEATTLE;10012-0000-5241;a128X00000DRwytQAD;Adidas EE5884 Nite Jogger Mens Sneakers SZ 11.5;adidas;mens-shoes-sneakers-athletic
SEATTLE;10012-0000-12884;a128X00000DSW3tQAH;adidas Superstar x Star Wars Th e Child 2020 size 7 gz2751;adidas;mens-shoes-sneakers-athletic
SEATTLE;10012-0000-41586;a128X00000DLAByQAP;Adidas Ivypark Leggings Pink Co w Pattern Sz US XL;adidas;womens-activewear-leggings
SEATTLE;10012-0000-55735;a128X00000DMOLTQA5;Adidas x Rita Ora Multicolor Ba nned From Normal Leggings Colorblock - Size Small;adidas;womens-activewear-leggings
SEATTLE;10012-0000-112002;a128X00000DcfSnQAJ;Adidas Adizero Swimsuit NWT Sz1 8;adidas;womens-activewear-swimwear
SEATTLE;10012-0000-108860;a128X00000DcHrOQAV;Adidas Blue Sleeveless Polo Top WM S;adidas;womens-sweaters-v-neck
SEATTLE;10012-0000-5104;a128X00000DRwoyQAD;Adidas B34922 Orange Womens SZ 8 Running Shoe;adidas;womens-shoes-sneakers
SEATTLE;10012-0000-4971;a128X00000DRwbyQAD;Adidas Tubular Shadow Women's B lack Pyv Shoes Sz 8.5 US;adidas;womens-shoes-sneakers
LOSANGELES;10014-0000-63518;a128X00000DtKpQQAV;Adidas NBA Men Grey LA Lakers H oodie XL;adidas;mens-athletic-apparel-hoodies-pullovers
LOSANGELES;10014-0000-46804;a128X00000DHVu7QAH;Adidas Red/Black Men Shirt XS ;adidas;mens-athletic-apparel-shirts
LOSANGELES;10014-0000-121264;a128X00000DuVfjQAF;Adidas Men Superstar White Snea kers Size 6.5;adidas;mens-shoes
LOSANGELES;10014-0000-1462;a128X00000DGdu0QAD;Adidas Neo Daily Vulc Beige Bro wn Shoes Size 13 Mens;adidas;mens-shoes
LOSANGELES;10014-0000-1488;a128X00000DGdwQQAT;Adidas Originals Kiel Sneakers In Navy B39563 Mens Size 13 Blue;adidas;mens-shoes
LOSANGELES;10014-0000-132578;a128X00000E2yDLQAZ;Adidas Alphaedge 4D Black Runni ng Shoe Size US Men's 8;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-112801;a128X00000DuKolQAF;Adidas Blue/White Low Top Sneak ers Men's Size 11.5 (012174);adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-129966;a128X00000DugqXQAR;Adidas Harden Vol. 5 Futurenatu ral Core Black Size 9;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-37742;a128X00000DHKWxQAP;Adidas Men's Distancestar Black Track Field Racing Shoes Size 11.5;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-111261;a128X00000DuIpBQAV;Adidas Men's NMD Runner PK Oreo Sneaker Size 11;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-113995;a128X00000DuMDpQAN;Adidas Men's Original Alphaedge 4D Sneakers Size 13;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-108199;a128X00000DuF4MQAV;Adidas Men's Ultraboost 20 Runn ing Sneakers Size 6.5;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-119794;a128X00000DuTcrQAF;adidas N3xt L3v3l Futurenatural Sneakers Men's Sz 9 Neon Green;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-120937;a128X00000DuVFfQAN;Adidas Ozelia Men's White Refle ctive Athletic Shoes Size 7;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-132759;a128X00000E2yUlQAJ;Adidas Prophere Bleached Black Size 12;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-119075;a128X00000DuScMQAV;Adidas 'Springblade' Black/Red Men Shoes Size 10;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-120686;a128X00000DuUuSQAV;Adidas Ultraboost 20 W EG0719 R unning Shoes Grey Metallic Coral Women's US 7.5 | eBay;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-115651;a128X00000DuOL7QAN;adidas Y-3 Neoprene Sneaker Men 's Sz 10.5 Blue;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-123397;a128X00000DuYH6QAN;adidas Y-3 Plimsoll Sneaker Men 's Sz 10.5 Black;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-118175;a128X00000DuROsQAN;adidas Y-3 Yohji Star Sneaker M en's Sz 12 Blk/White;adidas;mens-shoes-sneakers-athletic
LOSANGELES;10014-0000-51654;a128X00000DHbmxQAD;Adidas Womens Blue Sweatshirt M ;adidas;womens-sweaters-collared
LOSANGELES;10014-0000-134558;a128X00000E30lAQAR;Adidas Harden Step Back J Baske tball women Sneakers 5.5;adidas;womens-shoes
LOSANGELES;10014-0000-134602;a128X00000E30nzQAB;Adidas Superstar superstan woma ns size 6;adidas;womens-shoes
LOSANGELES;10014-0000-42351;a128X00000DHQCZQA5;Adidas Womens Superstars White Size 6;adidas;womens-shoes
LOSANGELES;10014-0000-111132;a128X00000DuIeIQAV;adidas Stella McCartney PulseBo ost HD Mid Sneaker Women's Sz 8 Orange;adidas;womens-shoes-sneakers
LOSANGELES;10014-0000-128160;a128X00000DueYvQAJ;Adidas Women's Original N-5923 Chalk Blue Sneaker Size 9;adidas;womens-shoes-sneakers
LOSANGELES;10014-0000-114526;a128X00000DuMssQAF;Adidas Womens Senseboost GO Whi te Running Shoes Sneakers Women's Size 7 (EG0944);adidas;womens-shoes-sneakers
LOSANGELES;10014-0000-132566;a128X00000E2yCNQAZ;Adidas Women's Solar Glide ST H K 'Hi-Res Yellow' Sneakers Size 10;adidas;womens-shoes-sneakers
LOSANGELES;10014-0000-115478;a128X00000DuO5JQAV;Adidas Women's U Path X Icey Pi nk Sneaker Size 7.5;adidas;womens-shoes-sneakers
COLORADO;10011-0000-7132;a128Z00000YDfg8QAD;Adrianna Papell Women's Dress S ize 14;Adrianna Papell;womens-dresses-midi
COLORADO;10011-0000-5931;a128Z00000YDbmEQAT;Adrianna Papell Women's Red Dre ss Size 4;Adrianna Papell;womens-dresses-sleeveless
MILWAUKEE;10013-0000-8712;a128X00000CY2yMQAT;Adrianna Papell Cap Sleeve Cham pagne Sheath Dress Size 12;Adrianna Papell;womens-dresses-midi
MILWAUKEE;10013-0000-13419;a128X00000CY8mKQAT;Adrianna Papell Blue Evening Dr ess Women's Size 2;Adrianna Papell;womens-dresses-mini
MILWAUKEE;10013-0000-60751;a128X00000B8twGQAR;Adrianna Papell Women's Crystal Beaded Detail Navy Blue Shirt Size: Small;Adrianna Papell;womens-tops-blouses-blouses
MILWAUKEE;10013-0000-17717;a128X00000CYDuzQAH;Adrianna Papell Black Polka Dot T-Shirt Size L;Adrianna Papell;womens-tops-blouses-t-shirts
SEATTLE;10012-0000-108933;a128X00000DcHz0QAF;Adriano Goldschmied Black Wax 5 Pocket Skinny Jean WM 24;Adrianna Papell;womens-bottoms-casual-pants
SEATTLE;10012-0000-103482;a128X00000EE45UQAT;Adrianna Papell | Office Pant | Wms Sz 8;Adrianna Papell;womens-bottoms-dress-pants
SEATTLE;10012-0000-33334;a128X00000DxYgDQAV;Adrianna Papell Black Pull Up P ant WM 10;Adrianna Papell;womens-bottoms-dress-pants
SEATTLE;10012-0000-44550;a128X00000DLTTfQAP;Adrianna Patrel Suzette Embroid ered Sheath Dress  Size  2;Adrianna Papell;womens-dresses-midi
SEATTLE;10012-0000-76195;a128X00000DO8fNQAT;Adriana Papell Evening Dress Na vy Lace SZ 10;Adrianna Papell;womens-dresses-mini
SEATTLE;10012-0000-46676;a128X00000DLdCvQAL;Adrianna Papell  Floral Ruffle Neck Top WM S;Adrianna Papell;womens-tops-blouses-sleeveless
